Trascrizione,Standard,Gruppo 0,Gruppo 1,Gruppo 2,Gruppo 3,Gruppo 4,Corporazione
paternostrer da paternostrer da vero,paternostrer da vero,paternoster - diverse specializzazioni,paternosteri o margariteri,vetro,oggettistica,beni,paternosteri e cristalleri
paternostrer da vero,paternostrer da vero,paternoster - diverse specializzazioni,paternosteri o margariteri,vetro,oggettistica,beni,paternosteri e cristalleri
paternostrer de vero de smaltini,paternostrer da vero da smaltini,paternoster - diverse specializzazioni,paternosteri o margariteri,vetro,oggettistica,beni,paternosteri e cristalleri
perler,perler,perlaio,perlaio,vetro,oggettistica,beni,paternosteri e cristalleri
pitor,pitor,pittore,pittore,decorazioni e mestieri dell'arte,decorazioni e mestieri dell'arte,beni,dipintori
pittor,pitor,pittore,pittore,decorazioni e mestieri dell'arte,decorazioni e mestieri dell'arte,beni,dipintori
pittor,pitor,pittore,pittore,decorazioni e mestieri dell'arte,decorazioni e mestieri dell'arte,beni,dipintori
pittor a guazo,pitor a guazo,pittore - diverse specializzazioni,pittore,decorazioni e mestieri dell'arte,decorazioni e mestieri dell'arte,beni,dipintori
pittor da cuoridoro,cuori d'oro,cuoridoro,orpellaio,decorazioni e mestieri dell'arte,decorazioni e mestieri dell'arte,beni,dipintori
pittor de figure,pitor da figure,pittore - diverse specializzazioni,pittore,decorazioni e mestieri dell'arte,decorazioni e mestieri dell'arte,beni,dipintori
pittor de vetrate,pitor de vetrate,pittore - diverse specializzazioni,pittore,decorazioni e mestieri dell'arte,decorazioni e mestieri dell'arte,beni,dipintori
pittor figurer,pitor da figure,pittore - diverse specializzazioni,pittore,decorazioni e mestieri dell'arte,decorazioni e mestieri dell'arte,beni,dipintori
pittore,pitor,pittore,pittore,decorazioni e mestieri dell'arte,decorazioni e mestieri dell'arte,beni,dipintori
